barra,tension_kv,estres_nodal,prioridad_operativa,score_revision,prioridad,estabilidad_senal,zona_mensual,soporte_evidencia,driver_principal,persistencia,accion_recomendada,limite_interpretacion
TINTAYA NUEVA 220,220.0,70.58,62.58,72.62,Prioridad B,Estabilidad alta,Zona mensual recurrente,A,Nivel de precio,Recurrente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
BELAUNDE 138,138.0,70.1,62.58,72.49,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Persistente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PIURA OESTE 220,220.0,72.85,62.81,72.26,Prioridad B,Estabilidad alta,Zona mensual recurrente,A,Nivel de precio,Persistente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
JULIACA10,10.0,69.85,62.41,72.21,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Persistente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
GALLITO CIEGO 60,60.0,70.89,62.51,72.18,Prioridad B,Estabilidad alta,Zona mensual recurrente,A,Nivel de precio,Persistente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
TALARA 220,220.0,72.93,62.7,72.12,Prioridad B,Estabilidad alta,Zona mensual recurrente,A,Nivel de precio,Persistente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
TALARA13.2,13.2,72.37,62.28,72.07,Prioridad B,Estabilidad alta,Zona mensual recurrente,A,Nivel de precio,Persistente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
TOCACHE 138,138.0,68.82,61.9,71.86,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Persistente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PUERTO MALDONADO 138,138.0,66.19,60.66,71.26,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Persistente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PUERTO MALDONADO 10,10.0,66.55,60.85,71.19,Prioridad B,Estabilidad alta,Zona mensual recurrente,A,Nivel de precio,Persistente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CALLALLI 138,138.0,68.68,61.35,71.13,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Recurrente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
JULIACA 138,138.0,68.5,61.42,70.84,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Persistente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
AYAVIRI 138,138.0,67.86,60.77,70.32,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Recurrente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PUNO 138,138.0,67.56,60.73,70.01,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Recurrente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
MOLLENDO 138,138.0,65.57,59.88,69.89,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Recurrente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
ILO1 138,138.0,67.41,60.49,69.49,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Recurrente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
GUADALUPE 60,60.0,68.44,60.76,69.15,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Recurrente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
AZANGARO 138,138.0,65.66,59.22,69.08,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Recurrente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PUCALLPA 60,60.0,64.36,59.27,68.95,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Recurrente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PUNO 220,220.0,66.51,59.97,68.94,Prioridad B,Estabilidad alta,Zona mensual frecuente,A,Nivel de precio,Recurrente,"Revisar después de Prioridad A o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
